All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                             # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50     N90     auN       L50  L90   # N's per 100 kbp
Assembly_CGT2006__asm_final.contigs  18                   9                       8                       7                        7                        6                        1084963                 1081462                    1080248                    1072777                     1072777                     1040963                     10         387262          1082173       51.45   278471  91295   245426.5  2    5     0.00             
Assembly_CGT2010__asm_final.contigs  802                  447                     69                      7                        0                        0                        1599015                 1414055                    497216                     77688                       0                           0                           599        11977           1524906       51.46   3637    1171    4273.5    133  409   0.00             
Assembly_CGT2044__asm_final.contigs  3                    2                       2                       2                        2                        2                        897008                  896634                     896634                     896634                      896634                      896634                      2          662288          896634        50.91   662288  234346  550440.2  1    2     0.00             
Assembly_CGT2049__asm_final.contigs  19                   16                      16                      16                       16                       16                       1490740                 1489672                    1489672                    1489672                     1489672                     1489672                     16         181027          1489672       53.17   89683   69109   104271.5  6    14    0.00             
Assembly_CGT2060__asm_final.contigs  20                   7                       7                       7                        7                        6                        1085554                 1080497                    1080497                    1080497                     1080497                     1040825                     10         387169          1082515       51.45   278471  91295   245736.6  2    5     0.00             
Assembly_CGT2069__asm_final.contigs  19                   11                      10                      9                        9                        8                        1904049                 1900957                    1899743                    1892277                     1892277                     1860463                     13         452260          1902168       51.52   367217  91295   318048.8  3    7     0.00             
Assembly_CGT2076__asm_final.contigs  1208                 871                     240                     56                       1                        0                        3843130                 3650839                    2050662                    762134                      44196                       0                           1050       44196           3785362       52.10   5457    1700    6909.4    211  680   0.00             
Assembly_CGT2093__asm_final.contigs  56                   23                      21                      20                       20                       16                       3468394                 3456090                    3453836                    3448612                     3448612                     3286967                     28         387086          3459236       52.12   225243  111133  242606.5  6    14    0.00             
Assembly_CGT2114__asm_final.contigs  70                   53                      53                      53                       52                       24                       3057192                 3050733                    3050733                    3050733                     3026490                     2014285                     56         185572          3053058       52.96   61882   32186   78356.3   16   43    0.00             
Assembly_CGT2116__asm_final.contigs  1449                 929                     326                     96                       4                        0                        4812216                 4559086                    2988419                    1363312                     106907                      0                           1115       28658           4691930       52.21   6721    1998    8118.1    215  699   0.00             
Assembly_CGT2119__asm_final.contigs  60                   36                      34                      32                       31                       26                       4342982                 4334230                    4330726                    4319242                     4308054                     4099720                     40         387272          4336720       52.23   193676  72416   203484.1  8    24    0.00             
