All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    Assembly_CGT2006__asm_final.contigs  Assembly_CGT2010__asm_final.contigs  Assembly_CGT2044__asm_final.contigs  Assembly_CGT2049__asm_final.contigs  Assembly_CGT2060__asm_final.contigs  Assembly_CGT2069__asm_final.contigs  Assembly_CGT2076__asm_final.contigs  Assembly_CGT2093__asm_final.contigs  Assembly_CGT2114__asm_final.contigs  Assembly_CGT2116__asm_final.contigs  Assembly_CGT2119__asm_final.contigs  Assembly_CGT2123__asm_final.contigs  Assembly_CGT2135__asm_final.contigs  Assembly_CGT2196__asm_final.contigs  Assembly_CGT2214__asm_final.contigs  Assembly_CGT2269__asm_final.contigs  Assembly_CGT2278__asm_final.contigs  Assembly_CGT2287__asm_final.contigs  Assembly_CGT2304__asm_final.contigs  Assembly_CGT2318__asm_final.contigs  Assembly_CGT2326__asm_final.contigs  Assembly_CGT2332__asm_final.contigs  Assembly_CGT2344__asm_final.contigs  Assembly_CGT2364__asm_final.contigs  Assembly_CGT2374__asm_final.contigs  Assembly_CGT2386__asm_final.contigs  Assembly_CGT2393__asm_final.contigs  Assembly_CGT2400__asm_final.contigs  Assembly_CGT2424__asm_final.contigs  Assembly_CGT2427__asm_final.contigs  Assembly_CGT2428__asm_final.contigs  Assembly_CGT2443__asm_final.contigs  Assembly_CGT2471__asm_final.contigs  Assembly_CGT2472__asm_final.contigs  Assembly_CGT2514__asm_final.contigs  Assembly_CGT2517__asm_final.contigs  Assembly_CGT2540__asm_final.contigs  Assembly_CGT2552__asm_final.contigs  Assembly_CGT2567__asm_final.contigs  Assembly_CGT2599__asm_final.contigs  Assembly_CGT2628__asm_final.contigs  Assembly_CGT2659__asm_final.contigs  Assembly_CGT2683__asm_final.contigs  Assembly_CGT2742__asm_final.contigs  Assembly_CGT2785__asm_final.contigs  Assembly_CGT2805__asm_final.contigs  Assembly_CGT2843__asm_final.contigs  Assembly_CGT2858__asm_final.contigs  Assembly_CGT2878__asm_final.contigs  Assembly_CGT2908__asm_final.contigs
# contigs (>= 0 bp)         18                                   802                                  3                                    19                                   20                                   19                                   1208                                 56                                   70                                   1449                                 60                                   291                                  927                                  1715                                 113                                  91                                   62                                   361                                  103                                  101                                  79                                   139                                  87                                   96                                   86                                   87                                   78                                   212                                  103                                  80                                   85                                   107                                  2187                                 80                                   85                                   456                                  212                                  253                                  219                                  538                                  471                                  103                                  100                                  110                                  88                                   107                                  66                                   519                                  223                                  206                                
# contigs (>= 1000 bp)      9                                    447                                  2                                    16                                   7                                    11                                   871                                  23                                   53                                   929                                  36                                   214                                  622                                  962                                  65                                   55                                   49                                   244                                  57                                   53                                   57                                   110                                  57                                   71                                   55                                   55                                   59                                   177                                  55                                   54                                   54                                   57                                   1277                                 54                                   55                                   327                                  185                                  157                                  181                                  338                                  246                                  57                                   55                                   56                                   53                                   55                                   50                                   374                                  183                                  181                                
# contigs (>= 5000 bp)      8                                    69                                   2                                    16                                   7                                    10                                   240                                  21                                   53                                   326                                  34                                   155                                  340                                  280                                  54                                   47                                   41                                   189                                  49                                   46                                   50                                   89                                   50                                   65                                   48                                   48                                   42                                   137                                  47                                   48                                   46                                   49                                   235                                  47                                   47                                   246                                  137                                  134                                  136                                  251                                  188                                  50                                   47                                   48                                   47                                   47                                   43                                   254                                  138                                  137                                
# contigs (>= 10000 bp)     7                                    7                                    2                                    16                                   7                                    9                                    56                                   20                                   53                                   96                                   32                                   129                                  154                                  87                                   48                                   42                                   34                                   143                                  44                                   42                                   45                                   78                                   45                                   53                                   44                                   40                                   38                                   114                                  42                                   42                                   42                                   44                                   27                                   41                                   42                                   170                                  117                                  111                                  116                                  180                                  145                                  45                                   42                                   43                                   42                                   43                                   41                                   165                                  116                                  116                                
# contigs (>= 25000 bp)     7                                    0                                    2                                    16                                   7                                    9                                    1                                    20                                   52                                   4                                    31                                   73                                   9                                    0                                    43                                   37                                   31                                   64                                   39                                   38                                   41                                   57                                   40                                   44                                   39                                   35                                   35                                   68                                   38                                   38                                   37                                   39                                   0                                    36                                   37                                   47                                   67                                   71                                   68                                   51                                   65                                   39                                   39                                   38                                   37                                   38                                   34                                   46                                   69                                   69                                 
# contigs (>= 50000 bp)     6                                    0                                    2                                    16                                   6                                    8                                    0                                    16                                   24                                   0                                    26                                   21                                   0                                    0                                    30                                   27                                   25                                   18                                   29                                   27                                   26                                   35                                   28                                   31                                   28                                   27                                   25                                   24                                   27                                   26                                   28                                   30                                   0                                    30                                   27                                   9                                    23                                   29                                   24                                   5                                    12                                   26                                   28                                   28                                   28                                   28                                   24                                   6                                    23                                   24                                 
Total length (>= 0 bp)      1084963                              1599015                              897008                               1490740                              1085554                              1904049                              3843130                              3468394                              3057192                              4812216                              4342982                              4497878                              4781409                              4599774                              4702005                              4721956                              4691221                              4739304                              4724603                              4724198                              4712677                              4679347                              4718747                              4686358                              4717964                              4695838                              4673898                              4491397                              4724305                              4716370                              4722173                              4722348                              4834872                              4694629                              4719391                              4741206                              4493411                              4730972                              4501480                              4772091                              4772934                              4723867                              4726236                              4727319                              4722184                              4726841                              4717036                              4711693                              4497912                              4498765                            
Total length (>= 1000 bp)   1081462                              1414055                              896634                               1489672                              1080497                              1900957                              3650839                              3456090                              3050733                              4559086                              4334230                              4462185                              4626340                              4209667                              4682554                              4707696                              4686302                              4681902                              4705968                              4705555                              4701876                              4668628                              4705625                              4675112                              4706297                              4685165                              4665975                              4473760                              4704369                              4705457                              4708457                              4704504                              4362147                              4684991                              4705898                              4679036                              4479381                              4689326                              4481115                              4688340                              4675311                              4705763                              4708347                              4706222                              4707535                              4706090                              4710305                              4648856                              4478566                              4483215                            
Total length (>= 5000 bp)   1080248                              497216                               896634                               1489672                              1080497                              1899743                              2050662                              3453836                              3050733                              2988419                              4330726                              4310754                              3836365                              2462369                              4656330                              4689411                              4666204                              4528585                              4687749                              4688561                              4683035                              4622841                              4689074                              4656052                              4689923                              4666430                              4629376                              4376060                              4685959                              4693149                              4690083                              4686114                              1754511                              4667301                              4687683                              4456940                              4368734                              4625959                              4378820                              4454825                              4525693                              4688109                              4689436                              4687966                              4694404                              4687183                              4689306                              4323334                              4372085                              4382136                            
Total length (>= 10000 bp)  1072777                              77688                                896634                               1489672                              1080497                              1892277                              762134                               3448612                              3050733                              1363312                              4319242                              4119757                              2476337                              1135340                              4616609                              4655663                              4621663                              4205272                              4653997                              4662369                              4649538                              4535506                              4654374                              4563829                              4663563                              4613093                              4598739                              4202048                              4652327                              4654422                              4663861                              4652467                              343100                               4625282                              4654040                              3912303                              4219513                              4454365                              4233459                              3942497                              4197256                              4653991                              4655839                              4654447                              4662978                              4660961                              4674444                              3668685                              4207643                              4227004                            
